Capacity,Probability,CumProb
0.0,0.0086,1.0000
50.0,0.0000,0.9914
100.0,0.0030,0.9914
150.0,0.0006,0.9885
200.0,0.0029,0.9878
250.0,0.0052,0.9849
300.0,0.0009,0.9798
350.0,0.0098,0.9789
400.0,0.0045,0.9691
450.0,0.0085,0.9646
500.0,0.0058,0.9561
550.0,0.0049,0.9503
600.0,0.0122,0.9454
650.0,0.0088,0.9332
700.0,0.0115,0.9245
750.0,0.0088,0.9129
800.0,0.0150,0.9041
850.0,0.0126,0.8891
900.0,0.0115,0.8765
950.0,0.0143,0.8650
1000.0,0.0145,0.8507
1050.0,0.0173,0.8361
1100.0,0.0146,0.8188
1150.0,0.0176,0.8042
1200.0,0.0171,0.7865
1250.0,0.0188,0.7695
1300.0,0.0183,0.7507
1350.0,0.0172,0.7324
1400.0,0.0206,0.7152
1450.0,0.0197,0.6946
1500.0,0.0202,0.6749
1550.0,0.0190,0.6547
1600.0,0.0207,0.6357
1650.0,0.0207,0.6150
1700.0,0.0197,0.5943
1750.0,0.0206,0.5745
1800.0,0.0202,0.5540
1850.0,0.0209,0.5338
1900.0,0.0199,0.5129
1950.0,0.0198,0.4930
2000.0,0.0196,0.4732
2050.0,0.0197,0.4536
2100.0,0.0193,0.4339
2150.0,0.0184,0.4146
2200.0,0.0186,0.3962
2250.0,0.0181,0.3776
2300.0,0.0176,0.3595
2350.0,0.0169,0.3418
2400.0,0.0167,0.3249
2450.0,0.0163,0.3083
2500.0,0.0156,0.2920
2550.0,0.0152,0.2764
2600.0,0.0145,0.2612
2650.0,0.0142,0.2467
2700.0,0.0135,0.2325
2750.0,0.0129,0.2190
2800.0,0.0124,0.2060
2850.0,0.0120,0.1936
2900.0,0.0114,0.1816
2950.0,0.0108,0.1702
3000.0,0.0103,0.1594
3050.0,0.0098,0.1491
3100.0,0.0094,0.1392
3150.0,0.0088,0.1299
3200.0,0.0084,0.1210
3250.0,0.0079,0.1127
3300.0,0.0075,0.1048
3350.0,0.0070,0.0973
3400.0,0.0066,0.0902
3450.0,0.0062,0.0836
3500.0,0.0058,0.0774
3550.0,0.0055,0.0716
3600.0,0.0051,0.0661
3650.0,0.0048,0.0610
3700.0,0.0045,0.0562
3750.0,0.0042,0.0517
3800.0,0.0039,0.0476
3850.0,0.0036,0.0437
3900.0,0.0033,0.0401
3950.0,0.0031,0.0368
4000.0,0.0029,0.0337
4050.0,0.0027,0.0308
4100.0,0.0025,0.0281
4150.0,0.0023,0.0257
4200.0,0.0021,0.0234
4250.0,0.0019,0.0213
4300.0,0.0018,0.0194
4350.0,0.0016,0.0176
4400.0,0.0015,0.0160
4450.0,0.0014,0.0145
4500.0,0.0012,0.0132
4550.0,0.0011,0.0119
4600.0,0.0010,0.0108
4650.0,0.0009,0.0098
4700.0,0.0009,0.0088
4750.0,0.0008,0.0079
4800.0,0.0007,0.0072
4850.0,0.0006,0.0064
4900.0,0.0006,0.0058
4950.0,0.0005,0.0052
5000.0,0.0005,0.0047
5050.0,0.0004,0.0042
5100.0,0.0004,0.0038
5150.0,0.0004,0.0034
5200.0,0.0003,0.0030
5250.0,0.0003,0.0027
5300.0,0.0003,0.0024
5350.0,0.0002,0.0021
5400.0,0.0002,0.0019
5450.0,0.0002,0.0017
5500.0,0.0002,0.0015
5550.0,0.0002,0.0013
5600.0,0.0001,0.0012
5650.0,0.0001,0.0011
5700.0,0.0001,0.0009
5750.0,0.0001,0.0008
5800.0,0.0001,0.0007
5850.0,0.0001,0.0006
5900.0,0.0001,0.0006
5950.0,0.0001,0.0005
6000.0,0.0001,0.0004
6050.0,0.0000,0.0004
6100.0,0.0000,0.0003
6150.0,0.0000,0.0003
6200.0,0.0000,0.0003
6250.0,0.0000,0.0002
6300.0,0.0000,0.0002
6350.0,0.0000,0.0002
6400.0,0.0000,0.0002
6450.0,0.0000,0.0001
6500.0,0.0000,0.0001
6550.0,0.0000,0.0001
6600.0,0.0000,0.0001
6650.0,0.0000,0.0001
6700.0,0.0000,0.0001
6750.0,0.0000,0.0001
6800.0,0.0000,0.0001
6850.0,0.0000,0.0000
6900.0,0.0000,0.0000
6950.0,0.0000,0.0000
7000.0,0.0000,0.0000
7050.0,0.0000,0.0000
7100.0,0.0000,0.0000
7150.0,0.0000,0.0000
7200.0,0.0000,0.0000
7250.0,0.0000,0.0000
7300.0,0.0000,0.0000
7350.0,0.0000,0.0000
7400.0,0.0000,0.0000
7450.0,0.0000,0.0000
7500.0,0.0000,0.0000
7550.0,0.0000,0.0000
7600.0,0.0000,0.0000
7650.0,0.0000,0.0000
7700.0,0.0000,0.0000
7750.0,0.0000,0.0000
7800.0,0.0000,0.0000
7850.0,0.0000,0.0000
7900.0,0.0000,0.0000
7950.0,0.0000,0.0000
8000.0,0.0000,0.0000
8050.0,0.0000,0.0000
8100.0,0.0000,0.0000
8150.0,0.0000,0.0000
8200.0,0.0000,0.0000
8250.0,0.0000,0.0000
8300.0,0.0000,0.0000
8350.0,0.0000,0.0000
8400.0,0.0000,0.0000
8450.0,0.0000,0.0000
8500.0,0.0000,0.0000
8550.0,0.0000,0.0000
8600.0,0.0000,0.0000
8650.0,0.0000,0.0000
8700.0,0.0000,0.0000
8750.0,0.0000,0.0000
8800.0,0.0000,0.0000
8850.0,0.0000,0.0000
8900.0,0.0000,0.0000
8950.0,0.0000,0.0000
9000.0,0.0000,0.0000
9050.0,0.0000,0.0000
9100.0,0.0000,0.0000
9150.0,0.0000,0.0000
9200.0,0.0000,0.0000
9250.0,0.0000,0.0000
9300.0,0.0000,0.0000
9350.0,0.0000,0.0000
9400.0,0.0000,0.0000
9450.0,0.0000,0.0000
9500.0,0.0000,0.0000
9550.0,0.0000,0.0000
9600.0,0.0000,0.0000
9650.0,0.0000,0.0000
9700.0,0.0000,0.0000
9750.0,0.0000,0.0000
9800.0,0.0000,0.0000
9850.0,0.0000,0.0000
9900.0,0.0000,0.0000
9950.0,0.0000,0.0000
10000.0,0.0000,0.0000
10050.0,0.0000,0.0000
10100.0,0.0000,0.0000
10150.0,0.0000,0.0000
10200.0,0.0000,0.0000
10250.0,0.0000,0.0000
10300.0,0.0000,0.0000
10350.0,0.0000,0.0000
10400.0,0.0000,0.0000
10450.0,0.0000,0.0000
10500.0,0.0000,0.0000
10550.0,0.0000,0.0000
10600.0,0.0000,0.0000
10650.0,0.0000,0.0000
10700.0,0.0000,0.0000
10750.0,0.0000,0.0000
10800.0,0.0000,0.0000
10850.0,0.0000,0.0000
10900.0,0.0000,0.0000
10950.0,0.0000,0.0000
11000.0,0.0000,0.0000
11050.0,0.0000,0.0000
11100.0,0.0000,0.0000
11150.0,0.0000,0.0000
11200.0,0.0000,0.0000
11250.0,0.0000,0.0000
11300.0,0.0000,0.0000
11350.0,0.0000,0.0000
11400.0,0.0000,0.0000
11450.0,0.0000,0.0000
11500.0,0.0000,0.0000
11550.0,0.0000,0.0000
11600.0,0.0000,0.0000
11650.0,0.0000,0.0000
11700.0,0.0000,0.0000
11750.0,0.0000,0.0000
11800.0,0.0000,0.0000
11850.0,0.0000,0.0000
11900.0,0.0000,0.0000
11950.0,0.0000,0.0000
12000.0,0.0000,0.0000
12050.0,0.0000,0.0000
12100.0,0.0000,0.0000
12150.0,0.0000,0.0000
12200.0,0.0000,0.0000
12250.0,0.0000,0.0000
12300.0,0.0000,0.0000
12350.0,0.0000,0.0000
12400.0,0.0000,0.0000
12450.0,0.0000,0.0000
12500.0,0.0000,0.0000
12550.0,0.0000,0.0000
12600.0,0.0000,0.0000
12650.0,0.0000,0.0000
12700.0,0.0000,0.0000
12750.0,0.0000,0.0000
12800.0,0.0000,0.0000
12850.0,0.0000,0.0000
12900.0,0.0000,0.0000
12950.0,0.0000,0.0000
13000.0,0.0000,0.0000
13050.0,0.0000,0.0000
13100.0,0.0000,0.0000
13150.0,0.0000,0.0000
13200.0,0.0000,0.0000
13250.0,0.0000,0.0000
13300.0,0.0000,0.0000
13350.0,0.0000,0.0000
13400.0,0.0000,0.0000
13450.0,0.0000,0.0000
13500.0,0.0000,0.0000
13550.0,0.0000,0.0000
13600.0,0.0000,0.0000
13650.0,0.0000,0.0000
13700.0,0.0000,0.0000
13750.0,0.0000,0.0000
13800.0,0.0000,0.0000
13850.0,0.0000,0.0000
13900.0,0.0000,0.0000
13950.0,0.0000,0.0000
14000.0,0.0000,0.0000
14050.0,0.0000,0.0000
14100.0,0.0000,0.0000
14150.0,0.0000,0.0000
14200.0,0.0000,0.0000
14250.0,0.0000,0.0000
14300.0,0.0000,0.0000
14350.0,0.0000,0.0000
14400.0,0.0000,0.0000
14450.0,0.0000,0.0000
14500.0,0.0000,0.0000
14550.0,0.0000,0.0000
14600.0,0.0000,0.0000
14650.0,0.0000,0.0000
14700.0,0.0000,0.0000
14750.0,0.0000,0.0000
14800.0,0.0000,0.0000
14850.0,0.0000,0.0000
14900.0,0.0000,0.0000
14950.0,0.0000,0.0000
15000.0,0.0000,0.0000
15050.0,0.0000,0.0000
15100.0,0.0000,0.0000
15150.0,0.0000,0.0000
15200.0,0.0000,0.0000
15250.0,0.0000,0.0000
15300.0,0.0000,0.0000
15350.0,0.0000,0.0000
15400.0,0.0000,0.0000
15450.0,0.0000,0.0000
15500.0,0.0000,0.0000
15550.0,0.0000,0.0000
15600.0,0.0000,0.0000
15650.0,0.0000,0.0000
15700.0,0.0000,0.0000
15750.0,0.0000,0.0000
15800.0,0.0000,0.0000
15850.0,0.0000,0.0000
15900.0,0.0000,0.0000
15950.0,0.0000,0.0000
16000.0,0.0000,0.0000
16050.0,0.0000,0.0000
16100.0,0.0000,0.0000
16150.0,0.0000,0.0000
16200.0,0.0000,0.0000
16250.0,0.0000,0.0000
16300.0,0.0000,0.0000
16350.0,0.0000,0.0000
16400.0,0.0000,0.0000
16450.0,0.0000,0.0000
16500.0,0.0000,0.0000
16550.0,0.0000,0.0000
16600.0,0.0000,0.0000
16650.0,0.0000,0.0000
16700.0,0.0000,0.0000
16750.0,0.0000,0.0000
16800.0,0.0000,0.0000
16850.0,0.0000,0.0000
16900.0,0.0000,0.0000
16950.0,0.0000,0.0000
17000.0,0.0000,0.0000
17050.0,0.0000,0.0000
17100.0,0.0000,0.0000
17150.0,0.0000,0.0000
17200.0,0.0000,0.0000
17250.0,0.0000,0.0000
17300.0,0.0000,0.0000
17350.0,0.0000,0.0000
17400.0,0.0000,0.0000
17450.0,0.0000,0.0000
17500.0,0.0000,0.0000
17550.0,0.0000,0.0000
17600.0,0.0000,0.0000
17650.0,0.0000,0.0000
17700.0,0.0000,0.0000
17750.0,0.0000,0.0000
17800.0,0.0000,0.0000
17850.0,0.0000,0.0000
17900.0,0.0000,0.0000
17950.0,0.0000,0.0000
18000.0,0.0000,0.0000
18050.0,0.0000,0.0000
18100.0,0.0000,0.0000
18150.0,0.0000,0.0000
18200.0,0.0000,0.0000
18250.0,0.0000,0.0000
18300.0,0.0000,0.0000
18350.0,0.0000,0.0000
18400.0,0.0000,0.0000
18450.0,0.0000,0.0000
18500.0,0.0000,0.0000
18550.0,0.0000,0.0000
18600.0,0.0000,0.0000
18650.0,0.0000,0.0000
18700.0,0.0000,0.0000
18750.0,0.0000,0.0000
18800.0,0.0000,0.0000
18850.0,0.0000,0.0000
18900.0,0.0000,0.0000
18950.0,0.0000,0.0000
19000.0,0.0000,0.0000
19050.0,0.0000,0.0000
19100.0,0.0000,0.0000
19150.0,0.0000,0.0000
19200.0,0.0000,0.0000
19250.0,0.0000,0.0000
19300.0,0.0000,0.0000
19350.0,0.0000,0.0000
19400.0,0.0000,0.0000
19450.0,0.0000,0.0000
19500.0,0.0000,0.0000
19550.0,0.0000,0.0000
19600.0,0.0000,0.0000
19650.0,0.0000,0.0000
19700.0,0.0000,0.0000
19750.0,0.0000,0.0000
19800.0,0.0000,0.0000
19850.0,0.0000,0.0000
19900.0,0.0000,0.0000
19950.0,0.0000,0.0000
20000.0,0.0000,0.0000
20050.0,0.0000,0.0000
20100.0,0.0000,0.0000
20150.0,0.0000,0.0000
20200.0,0.0000,0.0000
20250.0,0.0000,0.0000
20300.0,0.0000,0.0000
20350.0,0.0000,0.0000
20400.0,0.0000,0.0000
20450.0,0.0000,0.0000
20500.0,0.0000,0.0000
20550.0,0.0000,0.0000
20600.0,0.0000,0.0000
20650.0,0.0000,0.0000
20700.0,0.0000,0.0000
20750.0,0.0000,0.0000
20800.0,0.0000,0.0000
20850.0,0.0000,0.0000
20900.0,0.0000,0.0000
20950.0,0.0000,0.0000
21000.0,0.0000,0.0000
21050.0,0.0000,0.0000
21100.0,0.0000,0.0000
21150.0,0.0000,0.0000
21200.0,0.0000,0.0000
21250.0,0.0000,0.0000
21300.0,0.0000,0.0000
21350.0,0.0000,0.0000
21400.0,0.0000,0.0000
21450.0,0.0000,0.0000
21500.0,0.0000,0.0000
21550.0,0.0000,0.0000
21600.0,0.0000,0.0000
21650.0,0.0000,0.0000
21700.0,0.0000,0.0000
21750.0,0.0000,0.0000
21800.0,0.0000,0.0000
21850.0,0.0000,0.0000
21900.0,0.0000,0.0000
21950.0,0.0000,0.0000
22000.0,0.0000,0.0000
22050.0,0.0000,0.0000
22100.0,0.0000,0.0000
22150.0,0.0000,0.0000
22200.0,0.0000,0.0000
22250.0,0.0000,0.0000
22300.0,0.0000,0.0000
22350.0,0.0000,0.0000
22400.0,0.0000,0.0000
22450.0,0.0000,0.0000
22500.0,0.0000,0.0000
22550.0,0.0000,0.0000
22600.0,0.0000,0.0000
22650.0,0.0000,0.0000
22700.0,0.0000,0.0000
22750.0,0.0000,0.0000
22800.0,0.0000,0.0000
22850.0,0.0000,0.0000
22900.0,0.0000,0.0000
22950.0,0.0000,0.0000
23000.0,0.0000,0.0000
23050.0,0.0000,0.0000
23100.0,0.0000,0.0000
23150.0,0.0000,0.0000
23200.0,0.0000,0.0000
23250.0,0.0000,0.0000
23300.0,0.0000,0.0000
23350.0,0.0000,0.0000
23400.0,0.0000,0.0000
23450.0,0.0000,0.0000
23500.0,0.0000,0.0000
23550.0,0.0000,0.0000
23600.0,0.0000,0.0000
23650.0,0.0000,0.0000
23700.0,0.0000,0.0000
23750.0,0.0000,0.0000
23800.0,0.0000,0.0000
23850.0,0.0000,0.0000
23900.0,0.0000,0.0000
23950.0,0.0000,0.0000
24000.0,0.0000,0.0000
24050.0,0.0000,0.0000
24100.0,0.0000,0.0000
24150.0,0.0000,0.0000
24200.0,0.0000,0.0000
24250.0,0.0000,0.0000
24300.0,0.0000,0.0000
24350.0,0.0000,0.0000
24400.0,0.0000,0.0000
24450.0,0.0000,0.0000
24500.0,0.0000,0.0000
24550.0,0.0000,0.0000
24600.0,0.0000,0.0000
24650.0,0.0000,0.0000
24700.0,0.0000,0.0000
24750.0,0.0000,0.0000
24800.0,0.0000,0.0000
24850.0,0.0000,0.0000
24900.0,0.0000,0.0000
24950.0,0.0000,0.0000
25000.0,0.0000,0.0000
25050.0,0.0000,0.0000
